Country Code,Year,Inflation
ARB,1969,1.303790175
ARB,1970,2.602240857
ARB,1971,6.884718905
ARB,1972,2.496080762
ARB,1973,11.55528084
ARB,1974,26.9226785
ARB,1975,5.599144132
ARB,1976,7.524527584
ARB,1977,9.724012
ARB,1978,7.441071635
ARB,1979,15.0505676
ARB,1980,20.02834826
ARB,1981,11.58229627
ARB,1982,6.420624418
ARB,1983,6.887496961
ARB,1984,6.591178092
ARB,1985,4.478420197
ARB,1986,4.883974396
ARB,1987,9.368089891
ARB,1988,5.033812129
ARB,1989,8.577774338
ARB,1990,14.12140417
ARB,1991,7.61051704
ARB,1992,5.118985815
ARB,1993,4.545665531
ARB,1994,7.890030451
ARB,1995,6.684041319
ARB,1996,7.107667474
ARB,1997,3.930616167
ARB,1998,0.3913212795
ARB,1999,5.811654768
ARB,2000,9.777061275
ARB,2001,0.7805612165
ARB,2002,4.170660623
ARB,2003,5.111613217
ARB,2004,10.99107672
ARB,2005,11.96643161
ARB,2006,9.376786713
ARB,2007,6.669433968
ARB,2008,14.80253198
ARB,2009,-4.365780794
ARB,2010,10.63740376
ARB,2011,14.672383
ARB,2012,4.500643802
ARB,2013,1.33095015
ARB,2014,0.3778095773
ARB,2015,2.114685457
ARB,2016,0.6089570395
CSS,1976,7.714603946
CSS,1977,12.48649654
CSS,1978,7.992239592
CSS,1979,13.15540956
CSS,1980,11.58879643
CSS,1981,8.117346451
CSS,1982,5.663793549
CSS,1983,5.582578821
CSS,1984,4.927467945
CSS,1985,5.188684587
CSS,1986,5.221755176
CSS,1987,7.635244272
CSS,1988,5.788222617
CSS,1989,5.603633682
CSS,1990,7.493532072
CSS,1991,4.827101932
CSS,1992,4.012641676
CSS,1993,1.883424817
CSS,1994,3.588316901
CSS,1995,3.059399668
CSS,1996,2.673084511
CSS,1997,1.827377353
CSS,1998,2.425158234
CSS,1999,3.350212063
CSS,2000,1.552078567
CSS,2001,2.144176943
CSS,2002,1.017049274
CSS,2003,1.124929384
CSS,2004,4.014011472
CSS,2005,5.056827498
